1.082690432667732239e-01 1.082690432667732239e-01 1.134815812110900879e-01 2.301960945129394531e+00 5.822087287902832031e+00
1.073133945465087891e-01 1.073133945465087891e-01 1.009615287184715271e-01 2.304749250411987305e+00 2.157393693923950195e+00
1.068689152598381042e-01 1.068689152598381042e-01 1.134815812110900879e-01 2.303933620452880859e+00 1.982509613037109375e+00
1.071839854121208191e-01 1.071839854121208191e-01 1.134815812110900879e-01 2.303463459014892578e+00 1.920419692993164062e+00
1.067269667983055115e-01 1.067269667983055115e-01 1.028645932674407959e-01 2.303763151168823242e+00 1.928476095199584961e+00
1.063806191086769104e-01 1.063806191086769104e-01 1.028645932674407959e-01 2.304223060607910156e+00 1.694303512573242188e+00
1.065141484141349792e-01 1.065141484141349792e-01 1.009615287184715271e-01 2.304147481918334961e+00 1.891208887100219727e+00
1.067332625389099121e-01 1.067332625389099121e-01 1.134815812110900879e-01 2.304080486297607422e+00 1.971452474594116211e+00
1.060697138309478760e-01 1.060697138309478760e-01 1.028645932674407959e-01 2.304939746856689453e+00 1.799908638000488281e+00
1.063764318823814392e-01 1.063764318823814392e-01 1.028645932674407959e-01 2.302453279495239258e+00 1.862484455108642578e+00
1.069648787379264832e-01 1.069648787379264832e-01 1.009615287184715271e-01 2.303839683532714844e+00 1.871510982513427734e+00
1.066372618079185486e-01 1.066372618079185486e-01 9.745592623949050903e-02 2.302331447601318359e+00 1.967707157135009766e+00
1.055751591920852661e-01 1.055751591920852661e-01 1.028645932674407959e-01 2.302907228469848633e+00 1.799066066741943359e+00
1.066101267933845520e-01 1.066101267933845520e-01 1.028645932674407959e-01 2.303925275802612305e+00 1.770946264266967773e+00
1.063534989953041077e-01 1.063534989953041077e-01 1.134815812110900879e-01 2.309994935989379883e+00 2.062879085540771484e+00
1.063472107052803040e-01 1.063472107052803040e-01 9.745592623949050903e-02 2.307670354843139648e+00 1.765191793441772461e+00
